po_id,po_number,po_date,total_amount,vendor_ref,delivery_terms,payment_term,shipment_mode,warranty_period,delivery_period,contact_person,mobile,created_at,updated_at,item_code,vendor_name,supplier_gstin,buyer_gstin,delivery_location,supplier_pan
253,TP24-25/PO 1547,2025-03-07,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06497,SPECIAL BLASTS LIMITED,22AADCS2831D1ZY,,"G-5,GROUND FLOOR,WALLFORT OZONE,FAFDIH CHOWK,RAIPUR-492001RAIPURChhattisgarhIndia",AADCS2831D  
254,AN24-25/PO 781,2025-03-21,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04174,J.K.TRADERS & CO,21AAYPR6261N1ZW,,HANDIDHUA CHOCKOdishaIndia,AAYPR6261N  
255,CM24-25POAR 1004,2025-02-24,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06867,EXXONMOBIL LUBRICANTS PRIVATE LIMITED - WEST BENGAL,19AABCE0207H1Z3,,"20Cube Warehousing and Distribution Pvt Ltd,KOLKATAWest BengalIndia",AABCE0207H  
256,AN24-25POAR 630,2025-01-20,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00242,RANCHI RADIATOR WORKS,23APBPR3622K1ZZ,,MAIN ROAD. SINGRAULISINGRAULIMadhya PradeshIndia,APBPR3622K  
257,AN24-25/PO 740,2025-02-22,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00258,SAI KRISHNA ALLOY CASTINGS,36ABIFS3208B1ZJ,,SHED NO: E-4. I EHYDERABADTelanganaIndia,ABIFS3208B  
258,TP24-25/PO 1430,2025-02-14,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04627,SHIV MINING EQUIPMENTS,24ACRFS6412K1ZQ,,"FORTUNE GOLRY,GF-21,22,NR,VADODARAGujaratIndia",ACRFS6412K  
259,TP24-25POAR 883,2025-01-28,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06485,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED - CHATTISGARH,22AAHCI1010J1Z6,,"PLOT NO 13/1, 13/3, 51/1RAIGARHChhattisgarhIndia",AAHCI1010J  
260,TP24-25POAR 834,2025-01-11,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06485,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED - CHATTISGARH,22AAHCI1010J1Z6,,"PLOT NO 13/1, 13/3, 51/1RAIGARHChhattisgarhIndia",AAHCI1010J  
261,HO24-25POAR 73,2025-01-22,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06267,PPS MOTORS PRIVATE LIMITED - TELANGANA,36AAFCP8182N1ZP,,"SURVEY NO.17,18,19,22/2 PART,34,35,36 AND 38SECUNDERABADTelanganaIndia",AAFCP8182N  
262,TP24-25POAR 835,2025-01-11,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03098,DEVSHI EARTHMOVERS PVT LTD-HYDERABAD,36AABCD9558N1ZZ,,"PESHWARI PLAZAIDA Nacharam, Nacharam, HyderabadTelanganaIndia",AABCD9558N  
263,TP24-25POAR 821,2025-01-07,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06505,MRF LIMITED - CHHATTISGARH,22AAACM4154G1ZX,,"KHASARA NO.507/6,NEAR SIRGITTI,OVERBRIDGE,BILASPUR -495223ChhattisgarhIndia",AAACM4154G  
